date(YYYY-m-d),streamflow
2017-08-26,0
2017-08-27,0
2017-08-28,2.805139814
2017-08-29,11.96826061
2017-08-30,7.750951048
2017-08-31,6.291396642
2017-09-01,5.244708302
2017-09-02,4.755429123
2017-09-03,4.343143043
2017-09-04,4.023285699
2017-09-05,3.890437344
2017-09-06,3.938139841
2017-09-07,3.789457872
2017-09-08,3.417419629
2017-09-09,3.248122763
2017-09-10,3.208297915
2017-09-11,17.54643605
2017-09-12,8.762101226
2017-09-13,4.248880764
2017-09-14,3.025363616
2017-09-15,2.666252729
2017-09-16,2.427148027
2017-09-17,2.380386799
2017-09-18,2.215164196
2017-09-19,1.98549551
2017-09-20,1.97470931
2017-09-21,1.959006054
2017-09-22,1.823708508
2017-09-23,1.692881817
2017-09-24,1.61916189
2017-09-25,1.599986675
2017-09-26,1.495248147
2017-09-27,1.969930998
2017-09-28,2.587569791
2017-09-29,1.991523334
2017-09-30,1.793258806
2017-10-01,1.648649861
2017-10-02,5.740068327
2017-10-03,3.431059955
2017-10-04,2.399858252
2017-10-05,2.03419209
2017-10-06,2.003101427
2017-10-07,2.239571226
2017-10-08,1.87049934
2017-10-09,1.678137832
2017-10-10,1.519177773
2017-10-11,1.385052663
2017-10-12,1.391597976
2017-10-13,1.748545983
2017-10-14,1.436696946
2017-10-15,1.240387694
2017-10-16,1.160021315
2017-10-17,1.078030255
2017-10-18,0.991493853
2017-10-19,0.995427326
2017-10-20,0.991493853
2017-10-21,0.968561937
2017-10-22,0.904535814
2017-10-23,0.882443704
2017-10-24,0.806890033
2017-10-25,0.806890033
2017-10-26,0.806890033
2017-10-27,0.782893679
2017-10-28,0.745185123
2017-10-29,0.72461682
2017-10-30,0.692047552
2017-10-31,0.679019845
2017-11-01,0.652964432
2017-11-02,0.646450578
2017-11-03,0.646450578
2017-11-04,0.646450578
2017-11-05,0.643366253
2017-11-06,0.600185699
2017-11-07,0.600185699
2017-11-08,0.590932723
2017-11-09,0.572426772
2017-11-10,0.572426772
2017-11-11,0.552055825
2017-11-12,0.549145689
2017-11-13,0.546235554
2017-11-14,0.572426772
